,JPM,JPM,JPM,JPM,JPM,SPY,SPY,SPY,SPY,SPY
,open,high,low,close,volume,open,high,low,close,volume
2008-01-02,43.55,43.79,42.0,42.17,20782765,146.53,146.99,143.88,144.55,175801806
2008-01-03,42.47,42.65,41.76,41.86,16359123,144.92,145.49,144.12,144.46,111357758
2008-01-04,41.41,41.8,40.63,40.89,24189307,143.34,143.44,140.92,140.93,195945264
2008-01-07,41.1,41.58,40.16,41.32,24857162,141.81,142.23,140.1,141.46,220398905
2008-01-08,41.46,41.58,39.42,39.56,31904972,142.1,142.9,138.63,138.81,303249870
2008-01-09,39.59,40.34,38.54,40.31,32035925,139.01,140.79,137.7,140.78,283758852
2008-01-10,39.77,42.14,39.3,41.29,40410165,139.7,142.8,139.37,141.8,299975352
2008-01-11,40.88,42.1,36.41,40.85,36846826,140.75,141.9,139.0,140.01,246414893
2008-01-14,41.27,41.66,40.6,41.36,20344318,141.16,141.92,140.4,141.46,188179200
2008-01-15,40.73,40.73,38.85,39.05,43133894,139.74,140.1,137.9,137.95,212672979
2008-01-16,40.5,42.65,40.21,41.36,57848876,137.37,139.12,136.28,137.15,335114567
2008-01-17,41.57,41.68,39.89,40.12,36405254,137.58,137.88,132.93,133.23,356269008
2008-01-18,40.24,40.67,38.52,39.59,47751163,134.2,135.02,113.65,132.49,324023266
2008-01-22,37.66,42.0,37.66,40.88,52751714,126.45,132.25,126.0,131.02,373268286
2008-01-23,40.4,46.15,40.0,46.1,72450519,127.12,133.88,126.84,133.81,447099791
2008-01-24,45.83,46.01,44.26,44.91,49463985,134.28,135.46,133.31,135.0,236148263
2008-01-25,45.67,45.84,43.21,43.66,36696688,136.5,136.76,130.0,132.98,252279332
2008-01-28,43.79,45.6,43.4,45.6,26465412,133.29,135.33,132.06,135.32,194132213
2008-01-29,45.67,47.8,44.75,47.49,52762250,136.1,136.45,134.88,136.07,149092531
2008-01-30,47.1,49.29,46.32,47.35,64588590,135.58,138.54,135.05,135.36,306120078
2008-01-31,46.41,48.19,45.85,47.37,52300274,133.42,138.54,133.2,137.33,277905078
2008-02-01,47.26,48.7,46.9,48.65,41485612,137.92,139.61,137.52,139.45,174298858
2008-02-04,47.83,48.14,46.03,46.17,27297882,139.19,139.3,137.88,138.0,110715014
2008-02-05,45.03,45.48,43.85,43.93,37241276,135.86,136.25,133.68,133.7,238469618
2008-02-06,44.27,44.74,43.27,43.71,25828682,134.58,135.25,132.41,132.72,228762155
2008-02-07,43.39,45.58,43.25,45.13,36071022,132.08,134.79,131.73,133.78,267483999
2008-02-08,44.96,44.96,43.26,43.75,25217026,133.27,134.22,132.1,133.12,184989742
2008-02-11,43.89,44.0,42.82,43.34,25283943,133.12,134.23,132.04,133.91,170136567
2008-02-12,43.65,44.45,42.75,43.37,25993377,134.91,136.31,133.98,134.94,225956137
2008-02-13,43.55,44.17,43.01,44.06,25526555,136.06,137.1,135.14,136.71,162285726
2008-02-14,44.05,44.1,42.47,42.53,27971352,136.94,137.0,134.79,135.01,208961859
2008-02-15,42.41,43.21,42.01,43.21,27002810,134.55,140.0,133.36,135.06,132949917
2008-02-19,43.54,44.05,42.17,42.82,24614746,136.67,136.89,134.61,135.04,130812587
2008-02-20,42.37,43.34,41.85,43.17,29102421,134.0,137.6,133.76,136.11,205782963
2008-02-21,43.14,43.69,42.22,43.03,28238725,136.66,137.01,134.07,134.48,184265085
2008-02-22,43.06,44.01,41.91,44.01,29082720,134.98,135.65,132.86,135.64,189700512
2008-02-25,43.43,44.46,42.76,44.04,26994959,135.54,137.65,134.78,137.31,179659546
2008-02-26,43.73,44.54,43.41,43.75,24191430,136.72,138.95,136.5,138.35,180173090
2008-02-27,43.07,44.49,42.62,44.35,37091239,137.56,139.14,137.41,138.12,154603867
2008-02-28,44.0,44.02,42.39,42.44,34333387,137.25,137.96,136.55,136.99,146224046
2008-02-29,41.88,41.97,40.38,40.66,33758072,135.59,135.68,132.78,133.23,215744164
2008-03-03,40.55,40.63,39.43,39.85,28339744,133.16,133.81,132.24,133.41,175375697
2008-03-04,39.37,39.58,38.22,39.21,54436888,132.23,136.9,130.99,132.92,269091631
2008-03-05,39.36,39.58,38.11,38.69,35235014,133.4,134.77,132.34,133.7,251984917
2008-03-06,38.18,38.23,37.15,37.31,40856483,132.98,133.22,130.66,130.82,219330885
2008-03-07,36.89,39.08,36.61,37.56,40951054,129.72,131.74,128.58,129.71,283421216
2008-03-10,37.73,38.26,36.31,36.55,39599090,129.79,129.93,127.59,127.86,224890491
2008-03-11,38.48,39.26,37.16,38.8,55703216,130.72,132.46,128.95,132.39,288915746
2008-03-12,38.85,40.23,38.4,38.59,37343637,132.75,133.77,131.16,131.31,210223912
2008-03-13,37.84,38.95,36.63,38.16,44437991,129.61,132.64,128.6,131.92,320158588
